,neighbors
0,"['04001000045' '04001000070' '04001000100' '04001000120' '04009000016'
 '04011000001' '04011000002']"
1,['04001000015' '04001000105' '04001000115' '04001000175' '04001000210']
2,"['04001000010' '04001000035' '04001000105' '04001000115' '04001000150'
 '04001000195']"
3,"['04001000030' '04001000130' '04001000160' '04001000165' '04001000205'
 '04017000003' '04017000009' '04017000039' '04017000060' '04017000061']"
4,['04001000065' '04001000085' '04001000185' '04017000019']
5,['04001000020' '04001000130' '04001000165']
6,"['04001000015' '04001000060' '04001000115' '04001000185' '04001000195'
 '04017000024' '04017000045' '04017000059']"
7,['04001000110' '04001000145' '04001000150' '04017000004' '04017000011']
8,"['04001000005' '04001000050' '04001000070' '04001000120' '04001000160'
 '04001000205']"
9,['04001000045' '04001000120' '04001000160' '04001000180']
10,['04001000080' '04001000170' '04001000175']
11,['04001000035' '04001000065' '04001000080' '04001000115' '04001000185']
12,['04001000025' '04001000060' '04001000080' '04001000085' '04001000185']
13,['04001000005' '04001000045' '04001000100' '04001000205']
14,['04001000095' '04001000125' '04001000130' '04001000215']
15,"['04001000055' '04001000060' '04001000065' '04001000085' '04001000115'
 '04001000170' '04001000175']"
16,"['04001000025' '04001000065' '04001000080' '04001000125' '04001000170'
 '04001000215' '04017000019']"
17,['04001000105' '04001000140' '04001000155' '04001000210']
18,['04001000075' '04001000125' '04001000130']
19,"['04001000005' '04001000070' '04001000205' '04009000016' '04017000013'
 '04017000016' '04017000021' '04017000056']"
20,"['04001000010' '04001000015' '04001000090' '04001000145' '04001000150'
 '04001000155' '04001000210']"
21,['04001000040' '04001000135' '04001000145' '04001000190']
22,"['04001000010' '04001000015' '04001000035' '04001000060' '04001000080'
 '04001000175']"
23,['04001000005' '04001000045' '04001000050']
24,['04001000075' '04001000085' '04001000095' '04001000170' '04001000215']
25,"['04001000020' '04001000030' '04001000075' '04001000095' '04001000215'
 '04017000009' '04017000044']"
26,['04001000110' '04001000190' '04001000200']
27,['04001000090' '04001000155' '04001000190' '04001000200' '04001000210']
28,"['04001000040' '04001000105' '04001000110' '04001000150' '04001000155'
 '04001000190']"
29,"['04001000015' '04001000040' '04001000105' '04001000145' '04001000195'
 '04017000002' '04017000004']"
30,['04001000090' '04001000105' '04001000140' '04001000145' '04001000190']
31,"['04001000020' '04001000045' '04001000050' '04001000165' '04001000180'
 '04001000205']"
32,['04001000020' '04001000030' '04001000160']
33,['04001000055' '04001000080' '04001000085' '04001000125']
34,['04001000010' '04001000055' '04001000080' '04001000115' '04001000210']
35,['04001000050' '04001000160']
36,"['04001000025' '04001000035' '04001000060' '04001000065' '04017000010'
 '04017000017' '04017000019' '04017000024']"
37,"['04001000110' '04001000135' '04001000140' '04001000145' '04001000155'
 '04001000200']"
38,"['04001000015' '04001000035' '04001000150' '04017000002' '04017000004'
 '04017000045']"
39,['04001000135' '04001000140' '04001000190']
40,"['04001000020' '04001000045' '04001000070' '04001000100' '04001000160'
 '04017000012' '04017000013' '04017000039' '04017000060']"
41,['04001000010' '04001000090' '04001000105' '04001000140' '04001000175']
42,"['04001000075' '04001000085' '04001000125' '04001000130' '04017000019'
 '04017000044']"
43,['04003000002' '04003000003' '04003000021']
44,"['04003000001' '04003000003' '04003000021' '04003000024' '04003000046'
 '04019000046' '04019000165' '04019000221']"
45,['04003000001' '04003000002' '04003000021' '04003000024']
46,['04003000005' '04003000006' '04003000017' '04003000035' '04003000044']
47,['04003000004' '04003000006' '04003000018' '04003000019' '04003000035']
48,['04003000004' '04003000005' '04003000017' '04003000018' '04003000020']
49,['04003000022' '04003000023' '04003000047' '04009000001' '04009000013']
50,['04003000021' '04003000025' '04003000044' '04003000045' '04003000047']
51,['04003000010' '04003000011']
52,['04003000009' '04003000011' '04003000012' '04003000013']
53,['04003000009' '04003000010' '04003000012' '04003000020']
54,['04003000010' '04003000011' '04003000013' '04003000020']
