,neighbors
0,"['130910RAWLI' '130910MITCH' '130910EDDIN' '130910PLAIN' '132350ANNEX'
 '130910CHAUN' '130910VILUL' '130910JONES']"
1,['13091000LEE' '130910EDDIN' '130910PLAIN' '130910YONKE' '130910EMPIR']
2,['13091000LEE' '1331500002A' '132350ANNEX' '130910PONDT' '130910VILUL']
3,['13091000LEE' '130910RAWLI' '13023000001' '132350ANNEX' '130910EMPIR']
4,['130910PLAIN' '13023000001' '130910YONKE' '13175000013' '13175000010']
5,"['13091000LEE' '130910RAWLI' '130910MULLI' '130910YONKE' '13175000013'
 '13175000010' '130910JONES']"
6,"['13153000VHS' '1315300CGTC' '1315300HEFS' '1315300MCMS' '132250000C1'
 '132250000F2' '132250000F3' '1315300HAFS' '13193000003']"
7,"['1315300HHPC' '13153000BMS' '1315300NSES' '1315300HCTC' '1315300TWPK'
 '13021000RU2' '132890000GI']"
8,['1315300RECR' '1315300NSES' '1315300CENT' '13153000TMS' '1315300HCTC']
9,"['1315300ROZR' '1315300CGTC' '13153000BMS' '13023000001' '132350ANNEX'
 '1328900SG/T' '1315300HAFS']"
10,"['1315300ROZR' '13153000VHS' '13153000BMS' '1315300FMMS' '1315300MCMS'
 '1315300TWPK']"
11,"['1315300RECR' '13153000VHS' '1315300CGTC' '1315300HCTC' '1315300TWPK'
 '132890000GI' '1328900SG/T']"
12,"['1315300RECR' '1315300HHPC' '1315300CENT' '132250000B1' '132250000B2'
 '13021000RU2' '13021000RU1' '13079000005']"
13,['1315300HHPC' '1315300NSES' '13153000TMS' '132250000B2']
14,"['1315300ROZR' '13093000002' '13093000005' '1315300HAFS' '13193000005'
 '13193000003']"
15,"['13157004000' '13219000009' '13219000010' '13013000007' '1305900006C'
 '1305900006B' '1305900006D']"
16,"['13269000006' '13249000001' '13197000955' '13193000001' '13197000808'
 '13263000003' '13269000001']"
17,"['13319000008' '13319000005' '13009000322' '132890000DB' '13319000006'
 '13169000004']"
18,['13209000001' '13209000007' '13309000002' '13209000006']
19,"['13209000005' '13209000007' '13209000002' '13209000006' '13209000004'
 '13209000003']"
20,['13069000004' '13161000401' '13069000006' '13161000502' '13161000302']
21,"['13209000005' '13209000001' '13161000202' '13161000100' '13209000002'
 '13279000043' '13309000001' '13309000002']"
22,"['13185000003' '13185000002' '13185000005' '13027000660' '1307500000C'
 '13019001329' '130750000NL']"
23,"['1315300HHPC' '1315300CENT' '1315300FMMS' '1315300ANNX' '1315300HCTC'
 '132250000C1' '132250000B2']"
24,"['13071000001' '13071000002' '13071000012' '13071000013' '13071000011'
 '13275000104' '13275000106' '13071000018']"
25,"['13183000006' '13183000001' '13183000007' '13183000004' '13179000007'
 '13179000004']"
26,"['13183000002' '13183000001' '13183000007' '1330500003A' '1330500001C'
 '13267000007' '13267000009' '1330500001B']"
27,"['13183000002' '13183000006' '13179000007' '13179000013' '13267000007'
 '13267000009']"
28,"['13183000002' '13183000006' '13183000004' '13183000005' '13183000003'
 '1330500003A']"
29,['13183000002' '13183000007' '13183000003' '13179000007' '13179000004']
30,"['13015000016' '13015000005' '13015000011' '13015000004' '13015000015'
 '13015000007' '13015000006']"
31,"['13015000003' '13015000005' '13015000011' '13015000004' '13015000015'
 '13015000007' '13015000006']"
32,"['13015000003' '13015000016' '13015000011' '13015000009' '13015000015'
 '13015000010' '13015000001']"
33,"['13015000003' '13015000016' '13015000005' '13015000014' '13015000008'
 '13015000004' '13015000018' '13015000010']"
34,"['1315300CGTC' '13153000TMS' '1315300MCMS' '1315300ANNX' '1315300TWPK'
 '132250000C1']"
35,"['13015000011' '13015000008' '13015000018' '13015000010' '13115000025'
 '13233000001' '1322300002B' '13115000060']"
36,['13185000008' '13185000007' '13101001058']
37,"['13185000009' '13185000005' '13185000006' '13185000007' '13185000004'
 '13101001058']"
38,['13185000001' '13185000002' '13185000005' '13185000006' '13185000004']
39,"['13185000001' '13185000003' '13173000001' '13185000004' '13019001329'
 '13019001144']"
40,"['13185000001' '13185000008' '13185000003' '13185000006' '13185000007'
 '13027001199' '13027000660' '13027001650']"
41,['13185000008' '13185000003' '13185000005' '13185000004']
42,['13185000009' '13185000008' '13185000005' '13027001199' '13027000659']
43,"['13275000114' '13275000111' '131310000WL' '13275000106' '1313100000S'
 '1313100000P']"
44,"['13219000011' '13219000001' '1305900008C' '1305900001C' '1305900004B'
 '1305900007B' '1305900007A']"
45,"['13185000002' '13003000001' '13185000004' '13003000003' '13101001058'
 '1306500000D' '13019001767' '13019001144' '130650000AB']"
46,"['13263000002' '13199000001' '13199000002' '131450000WA' '13199000011'
 '131450000VP']"
47,"['13133000001' '13133000005' '13133000006' '1314100003B' '13237000105'
 '13211000002']"
48,"['13263000008' '13263000005' '13293005610' '13199000001' '13263000001'
 '131450000WA' '13263000003' '13293001336']"
49,['13133000001' '13133000005' '132210000LX' '13265000601']
50,"['13133000008' '13133000004' '13133000005' '13219000004' '13211000002'
 '13219000003' '13211000001' '132210000LX']"
