,neighbors
0,"['32001000002' '32001000003' '32001000005' '32001000007' '32001000009'
 '32001007-01']"
1,['32001000001' '32001000004' '32001000005' '32001000009' '32001000012']
2,"['32001000001' '32001000005' '32001000006' '32001000007' '32001000011'
 '32001015-01' '32001015-02' '32001015-03']"
3,"['32001000002' '32001000005' '32001000008' '32001000009' '32001000012'
 '32001000013' '32001008-01' '32001008-02' '32001008-03' '32001012-01'
 '32001012-02' '32001012-03']"
4,"['32001000001' '32001000002' '32001000003' '32001000004' '32001000006'
 '32001000008' '32001000015' '32001008-01' '32001015-10']"
5,"['32001000003' '32001000005' '32001000008' '32001000011' '32001000015'
 '32001015-02' '32001015-03' '32001015-04' '32001015-05' '32001015-06'
 '32001015-07' '32001015-08' '32001015-09' '32001015-10']"
6,"['32001000001' '32001000003' '32001000009' '32001000010' '32001000011'
 '32001000018']"
7,['32001000004' '32001000005' '32001000006' '32001000013' '32001000015']
8,"['32001000001' '32001000002' '32001000004' '32001000007' '32001000010'
 '32001000012' '32001000016' '32001000017' '32027000001']"
9,['32001000007' '32001000009' '32001000017' '32001000018']
10,"['32001000003' '32001000006' '32001000007' '32001000015' '32001000018'
 '32001000019' '32001015-03']"
11,"['32001000002' '32001000004' '32001000009' '32001000013' '32001000014'
 '32001000016' '32019000005' '32021000007' '32021000011']"
12,"['32001000004' '32001000008' '32001000012' '32001000014' '32001000015'
 '32001008-02']"
13,['32001000012' '32001000013' '32001000015' '32019000005' '32019000025']
14,"['32001000005' '32001000006' '32001000008' '32001000011' '32001000013'
 '32001000014' '32001000019' '32019000023' '32019000024' '32019000025']"
15,"['32001000009' '32001000012' '32015000005' '32015000006' '32021000007'
 '32021000009' '32023000004' '32023000005' '32027000001' '32027000007']"
16,"['32001000009' '32001000010' '32001000018' '32001000019' '32019000027'
 '32019000040' '32027000001' '32031007412' '32031007581']"
17,['32001000007' '32001000010' '32001000011' '32001000017' '32001000019']
18,"['32001000011' '32001000015' '32001000017' '32001000018' '32019000023'
 '32019000024' '32019000027' '32019000028']"
19,['32001000001']
