,neighbors
0,['1300100001B' '1300100001C' '1300100003C' '1300100005A' '130010003A1']
1,"['13001000002' '1300100001C' '130010003A1' '13161000202' '13279000039'
 '13279000043']"
2,['13001000002' '1300100001B' '1300100005A' '1300100005B' '13161000202']
3,"['13001000002' '1300100004B' '1300100004D' '1300100005A' '130010003A1'
 '1330500001A' '1330500002A' '1330500002C']"
4,"['1300100003C' '1300100004D' '130050DOUGL' '1322900004A' '1322900004B'
 '1330500002A' '1330500002C']"
5,['1300100003C' '1300100004B' '1300100005A' '1300100005B' '130050DOUGL']
6,['13001000002' '1300100001C' '1300100003C' '1300100004D' '1300100005B']
7,"['1300100001C' '1300100004D' '1300100005A' '130050DOUGL' '13161000202'
 '13161000301' '13161000302']"
8,"['13001000002' '1300100001B' '1300100003C' '13267000009' '13279000039'
 '1330500001A' '1330500001B']"
9,"['13003000002' '13003000003' '13003000004' '1306500000H' '130650000AB'
 '13069000001' '13173000001']"
10,"['13003000001' '1306500000H' '13069000001' '13069000005' '13299000404'
 '13299000408']"
11,"['13003000001' '13019000518' '13019001148' '13019001767' '13069000001'
 '13069000003' '13173000001']"
12,['13003000001']
13,"['1300100004B' '1300100004D' '1300100005B' '13069000005' '13069000006'
 '13161000302' '1322900004B' '1322900004C' '1322900004D' '13299000404'
 '13299000405']"
14,['1300700000E' '1300700000H' '1300700000M' '1309900000A' '13201000001']
15,"['1300700000A' '1300700000H' '1300700000M' '1300700000N' '13037000001'
 '13095000009']"
16,"['1300700000A' '1300700000E' '1300700000N' '13087001277' '13087001805'
 '13201000001' '132050000CN' '132050000HF']"
17,['1300700000A' '1300700000E' '13037000001' '13037000002' '1309900000A']
18,"['1300700000E' '1300700000H' '13037000001' '13095000009' '13095000026'
 '132050000BA' '132050000CN']"
19,"['1300900CTY1' '1300900CTY3' '1300900CTY5' '1300900CTY6' '1300900MERI'
 '1300900MONT' '1314100001A' '13237000107']"
20,"['13009000322' '1300900321W' '1300900CTY1' '1300900MERI' '13169000004'
 '13169000005' '13237000107']"
21,"['13009000319' '13009001714' '1300900321W' '13169000004' '13169000005'
 '13319000002' '13319000006' '13319000010']"
22,"['13009000322' '1300900321E' '1300900321W' '1300900CTY2' '1300900MONT'
 '13319000002' '13319000006']"
23,['13009001714' '1300900321W' '1300900CTY2' '1300900CTY4' '1300900MONT']
24,"['13009000319' '13009000322' '13009001714' '1300900321E' '1300900CTY1'
 '1300900CTY4']"
25,"['13009000318' '13009000319' '1300900321W' '1300900CTY4' '1300900CTY5'
 '1300900CTY6' '1300900MERI']"
26,['13009001714' '1300900321E' '1300900CTY3' '1300900CTY4' '1300900MONT']
27,"['13009000318' '1300900CTY2' '1300900CTY4' '1300900CTY5' '1300900CTY6'
 '1300900MONT']"
28,"['1300900321E' '1300900321W' '1300900CTY1' '1300900CTY2' '1300900CTY3'
 '1300900CTY5']"
29,['13009000318' '1300900CTY1' '1300900CTY3' '1300900CTY4' '1300900CTY6']
30,['13009000318' '1300900CTY1' '1300900CTY3' '1300900CTY5' '1300900MONT']
31,['13009000318' '13009000319' '1300900CTY1' '13237000107']
32,"['13009000318' '13009001714' '1300900321E' '1300900CTY2' '1300900CTY3'
 '1300900CTY6' '1314100001A' '1314100002B' '1314100004B' '13303000088'
 '13303000099' '13319000002']"
33,['13011000004' '13011000008' '13011000010' '13011000011' '13157002000']
34,"['13011000005' '13011000007' '13011000009' '13137000002' '13137000005'
 '13137000006']"
35,['13011000009' '13011000010' '13011000012' '13011000013']
36,"['13011000001' '13011000006' '13011000010' '13011000013' '13119000002'
 '13119000007' '13157002000']"
37,"['13011000002' '13011000009' '13011000012' '13119000002' '13137000002'
 '13257000005']"
38,['13011000004' '13119000007' '13157002000' '13195000ILA']
39,"['13011000002' '13011000009' '13011000010' '13011000011' '13137000006'
 '13139000013']"
40,['13011000001' '13011000011' '13139000013' '13139000026' '13157002000']
41,"['13011000002' '13011000003' '13011000005' '13011000007' '13011000010'
 '13011000012']"
42,"['13011000001' '13011000003' '13011000004' '13011000007' '13011000009'
 '13011000011' '13011000013']"
43,['13011000001' '13011000007' '13011000008' '13011000010' '13139000013']
44,['13011000003' '13011000005' '13011000009' '13011000013' '13119000002']
45,['13011000003' '13011000004' '13011000010' '13011000012' '13119000002']
46,['13013000005' '13013000016' '13219000008' '13297000250' '13297000414']
