,neighbors
0,"['17001002001' '17001003001' '17001004001' '17001010001' '17001013001'
 '17009000401' '17009000701' '17169000501']"
1,"['17001001001' '17001003001' '17001004001' '17067002401' '17067002501'
 '17169000101' '17169000501']"
2,['17001001001' '17001002001' '17001003002' '17001004001' '17001013001']
3,"['17001003001' '17001004001' '17001005001' '17001006001' '17001013001'
 '17001016001']"
4,"['17001001001' '17001002001' '17001003001' '17001003002' '17001005001'
 '17001006001' '17067002301' '17067002401' '17067002501']"
5,"['17001003002' '17001004001' '17001006001' '17001007001' '17001013001'
 '17001016001' '17001019001']"
6,"['17001003002' '17001004001' '17001005001' '17001007001' '17001008001'
 '17067002301' '17067002401']"
7,"['17001005001' '17001006001' '17001007002' '17001008001' '17001009001'
 '17001016001' '17001019001']"
8,['17001007001']
9,"['17001006001' '17001007001' '17001009001' '17067002101' '17067002201'
 '17067002301']"
10,['17001007001' '17001008001' '17001019001' '17001022001' '17001022003']
11,"['17001001001' '17001011001' '17001013001' '17001014001' '17009000101'
 '17009000401' '17009000701']"
12,"['17001010001' '17001012001' '17001013001' '17001014001' '17001015001'
 '17009000101' '17149001101']"
13,"['17001011001' '17001015001' '17009000101' '17149001101' '17149001202'
 '17149001601']"
14,"['17001001001' '17001003001' '17001003002' '17001005001' '17001010001'
 '17001011001' '17001014001' '17001016001' '17001017001']"
15,"['17001010001' '17001011001' '17001013001' '17001015001' '17001016001'
 '17001017001' '17001018002']"
16,"['17001011001' '17001012001' '17001014001' '17001017001' '17001018002'
 '17149001601' '17149002001' '17149002201']"
17,"['17001003002' '17001005001' '17001007001' '17001013001' '17001014001'
 '17001017001' '17001019001' '17001019002' '17001020006']"
18,"['17001013001' '17001014001' '17001015001' '17001016001' '17001018001'
 '17001018002' '17001019002' '17001020001' '17001020006' '17001021001']"
19,"['17001017001' '17001018002' '17001020001' '17001021001' '17149002202'
 '17149002401']"
20,"['17001014001' '17001015001' '17001017001' '17001018001' '17149002001'
 '17149002201' '17149002202']"
21,"['17001005001' '17001007001' '17001009001' '17001016001' '17001019002'
 '17001019003' '17001022001' '17001022002' '17001023009']"
22,"['17001016001' '17001017001' '17001019001' '17001019003' '17001020006'
 '17001023018']"
23,"['17001019001' '17001019002' '17001022002' '17001023009' '17001023012'
 '17001023015' '17001023018']"
24,"['17001017001' '17001018001' '17001020002' '17001020003' '17001020005'
 '17001020006' '17001021001']"
25,['17001020001' '17001020003' '17001020004' '17001020005']
26,"['17001020001' '17001020002' '17001020004' '17001021001' '17001023027'
 '17001023031' '17001023035' '17001023036' '17001023037']"
27,['17001020002' '17001020003' '17001020005' '17001023027' '17001023031']
28,"['17001020001' '17001020002' '17001020004' '17001020006' '17001023018'
 '17001023023' '17001023024' '17001023025' '17001023026' '17001023027']"
29,"['17001016001' '17001017001' '17001019002' '17001020001' '17001020005'
 '17001023018']"
30,"['17001017001' '17001018001' '17001020001' '17001020003' '17149002202'
 '17149002401']"
31,['17001009001' '17001019001' '17001022002' '17001022003']
32,"['17001019001' '17001019003' '17001022001' '17001022003' '17001023001'
 '17001023008' '17001023009' '17001023011' '17001023012']"
33,"['17001009001' '17001022001' '17001022002' '17001023001' '17001023002'
 '17001023003' '17001023008']"
