,neighbors
0,"['37001000002' '37001000007' '3700100008N' '3700100008S' '37037000003'
 '370810000GR' '371510000LB']"
1,"['37001000001' '37001000007' '3700100003S' '37001000064' '37001000129'
 '370810000GR' '37081000RC2']"
2,"['37001000005' '37001000035' '37001000127' '3703300STON' '370810NWASH'
 '370810SWASH' '371570000SE']"
3,"['37001000004' '37001000011' '37001000013' '37001000063' '37001000127'
 '3703300ANDE' '3703300STON']"
4,"['37001000001' '37001000002' '37001000064' '3700100006S' '3700100008N'
 '3700100009N' '3700100009S']"
5,"['37001000005' '37001000013' '3700100010N' '370330000PH' '3703300ANDE'
 '371350000CA' '371350000CX']"
6,"['37001000005' '37001000011' '37001000063' '3700100006E' '3700100006N'
 '3700100006S' '37001000103' '3700100010N' '3700100010S']"
7,"['37001000004' '3700100003C' '3700100003N' '3700100003W' '37001000124'
 '37001000127' '370810SWASH']"
8,"['37001000035' '3700100003N' '3700100003S' '3700100003W' '37001000124'
 '37001000126' '370010003N2']"
9,['37001000035' '3700100003C' '3700100003W' '370010003N2']
10,"['37001000002' '3700100003C' '3700100003W' '37001000125' '37001000126'
 '37001000129' '37081000GIB' '37081000RC2']"
11,"['37001000035' '3700100003C' '3700100003N' '3700100003S' '370010003N2'
 '37081000GIB' '37081000RC2' '370810SWASH']"
12,"['37001000005' '37001000013' '3700100006N' '37001000127' '3700100012E'
 '3700100012N']"
13,"['37001000002' '37001000007' '3700100006E' '3700100006S' '3700100006W'
 '37001000129' '37001001210']"
14,['37001000013' '37001000064' '3700100006N' '3700100006S' '3700100006W']
15,['37001000013' '37001000063' '3700100006E' '3700100006W' '3700100012E']
16,"['37001000007' '37001000013' '37001000064' '3700100006E' '3700100009N'
 '37001000103']"
17,"['37001000064' '3700100006E' '3700100006N' '37001000129' '3700100012E'
 '3700100012S' '37001001210']"
18,['37001000001' '37001000007' '3700100008S' '3700100009S' '371350000WC']
19,"['37001000001' '3700100008N' '37037000003' '37037000021' '37037MCH110'
 '371350000WC']"
20,['37001000007' '3700100006S' '3700100009S' '37001000103']
21,"['37001000007' '3700100008N' '3700100009N' '37001000103' '371350000CX'
 '371350000OG' '371350000WC']"
22,"['37001000013' '3700100006S' '3700100009N' '3700100009S' '3700100010S'
 '371350000CX']"
23,['37001000011' '37001000013' '3700100010S' '371350000CA' '371350000CX']
24,['37001000013' '37001000103' '3700100010N' '371350000CX']
25,['37001000035' '3700100003C' '37001000126' '37001000127' '3700100012W']
26,['3700100003S' '37001000126' '37001000128' '37001000129' '37001001210']
27,"['3700100003C' '3700100003S' '37001000124' '37001000125' '37001000128'
 '3700100012W']"
