,neighbors
0,"['39001001AAD' '39001001AAN' '39001001AAT' '39071036AAQ' '39071036ABC'
 '39131066AAO']"
1,['39001001AAE' '39001001AAG' '39001001AAN' '39001001AAR' '39001001AAY']
2,"['39001001AAA' '39001001AAN' '39071036AAQ' '39131066AAO' '39131066AAV'
 '39145073ADR']"
3,['39001001AAB' '39001001AAG' '39001001AAR' '39145073ADD' '39145073ADE']
4,['39001001AAB' '39001001AAE' '39001001AAN' '39145073ABU' '39145073ADD']
5,"['39001001AAR' '39001001AAW' '39001001AAZ' '39001001ABC' '39001001ABE'
 '39015008AAA' '39015008AAM']"
6,['39001001AAR' '39001001AAW']
7,"['39001001AAA' '39001001AAB' '39001001AAD' '39001001AAG' '39001001AAP'
 '39001001AAS' '39001001AAT' '39001001AAY' '39145073ABU' '39145073ADR']"
8,['39001001AAN']
9,"['39001001AAB' '39001001AAE' '39001001AAI' '39001001AAK' '39001001AAW'
 '39001001AAY' '39001001AAZ']"
10,['39001001AAN' '39001001AAT' '39001001AAY' '39001001AAZ' '39001001ABE']
11,"['39001001AAA' '39001001AAN' '39001001AAS' '39001001AAU' '39001001ABE'
 '39001001ABG' '39071036AAT' '39071036ABC']"
12,['39001001AAT' '39001001ABE']
13,['39001001AAI' '39001001AAK' '39001001AAR' '39015008AAM']
14,"['39001001AAB' '39001001AAN' '39001001AAR' '39001001AAS' '39001001AAZ'
 '39001001ABA' '39001001ABC']"
15,"['39001001AAI' '39001001AAR' '39001001AAS' '39001001AAY' '39001001ABA'
 '39001001ABC' '39001001ABE']"
16,['39001001AAY' '39001001AAZ' '39001001ABC']
17,['39001001AAI' '39001001AAY' '39001001AAZ' '39001001ABA']
18,"['39001001AAI' '39001001AAS' '39001001AAT' '39001001AAU' '39001001AAZ'
 '39001001ABG' '39015008AAA' '39015008ACH']"
19,"['39001001AAT' '39001001ABE' '39001001ABH' '39015008ACF' '39015008ACH'
 '39071036AAT']"
20,['39001001ABG']
21,"['39003002AAC' '39003002AAE' '39003002AET' '39137069AAG' '39161081AAA'
 '39161081AAD' '39161081AAE']"
22,['39003002AAA' '39003002AAE' '39003002AET' '39137069AAG']
23,"['39003002AAA' '39003002AAC' '39003002AAG' '39003002AET' '39161081AAA'
 '39161081AAB' '39161081AAC' '39161081AAD' '39161081ABJ']"
24,['39003002AAE' '39003002AET']
25,"['39003002AAJ' '39003002AAP' '39003002ACY' '39003002ADY' '39003002AEB'
 '39003002AEC']"
26,"['39003002AAH' '39003002AAK' '39003002AAP' '39003002AAQ' '39003002AAX'
 '39003002AAY' '39003002AEC']"
27,['39003002AAJ' '39003002AAQ' '39003002AAW' '39003002AAX']
28,['39003002AAP' '39003002ACX' '39003002ACY' '39003002ACZ' '39003002ADA']
29,"['39003002AAH' '39003002AAJ' '39003002AAO' '39003002AAQ' '39003002ACY'
 '39003002ADA']"
30,"['39003002AAJ' '39003002AAK' '39003002AAP' '39003002AAW' '39003002ACE'
 '39003002ADA']"
31,"['39003002AAK' '39003002AAQ' '39003002AAX' '39003002ABF' '39003002ABW'
 '39003002ACE' '39003002ACG']"
32,"['39003002AAJ' '39003002AAK' '39003002AAW' '39003002AAY' '39003002ABP'
 '39003002ABW' '39003002ABX']"
33,"['39003002AAJ' '39003002AAX' '39003002ABP' '39003002ABT' '39003002AEC'
 '39003002AEG']"
34,"['39003002ABF' '39003002ABH' '39003002ABI' '39003002ACG' '39003002ADG'
 '39003002ADI']"
35,['39003002AAW' '39003002ABE' '39003002ABI' '39003002ABW' '39003002ACG']
36,['39003002ABE' '39003002ABI' '39003002ADI' '39003002AFO' '39003002AFP']
37,['39003002ABE' '39003002ABF' '39003002ABH' '39003002ABW' '39003002AFP']
38,['39003002AAX' '39003002AAY' '39003002ABQ' '39003002ABT' '39003002ABX']
39,['39003002ABP' '39003002ABR' '39003002ABT' '39003002ABX' '39003002ABZ']
40,['39003002ABQ' '39003002ABT' '39003002ABZ' '39003002AFC']
41,"['39003002AAY' '39003002ABP' '39003002ABQ' '39003002ABR' '39003002AEG'
 '39003002AFB' '39003002AFC']"
42,"['39003002AAW' '39003002AAX' '39003002ABF' '39003002ABI' '39003002ABX'
 '39003002ABZ' '39003002AFP' '39003002AFQ']"
43,['39003002AAX' '39003002ABP' '39003002ABQ' '39003002ABW' '39003002ABZ']
44,"['39003002ABQ' '39003002ABR' '39003002ABW' '39003002ABX' '39003002AFC'
 '39003002AFQ' '39003002AGD']"
45,"['39003002ACE' '39003002ACG' '39003002ADA' '39003002ADB' '39003002ADC'
 '39003002ADG']"
46,['39003002AAQ' '39003002AAW' '39003002ACD' '39003002ACG' '39003002ADA']
47,"['39003002AAW' '39003002ABE' '39003002ABF' '39003002ACD' '39003002ACE'
 '39003002ADG']"
48,"['39003002ACU' '39003002ADF' '39003002AFN' '39003002AFT' '39003002AFV'
 '39003002AGI' '39011006ABC']"
49,"['39003002ACT' '39003002ACW' '39003002ADF' '39003002AES' '39003002AET'
 '39003002AFN' '39003002AGI']"
50,"['39003002ACU' '39003002ACX' '39003002ADC' '39003002ADD' '39003002ADE'
 '39003002ADF' '39003002ADQ' '39003002ADR' '39003002AES' '39003002AGN']"
51,"['39003002AAO' '39003002ACW' '39003002ACY' '39003002ACZ' '39003002ADA'
 '39003002ADC' '39003002AGN']"
52,"['39003002AAH' '39003002AAO' '39003002AAP' '39003002ACX' '39003002ADY'
 '39003002AGN']"
53,['39003002AAO' '39003002ACX' '39003002ADA']
54,"['39003002AAO' '39003002AAP' '39003002AAQ' '39003002ACD' '39003002ACE'
 '39003002ACX' '39003002ACZ' '39003002ADC']"
55,['39003002ACD' '39003002ADC']
56,"['39003002ACD' '39003002ACW' '39003002ACX' '39003002ADA' '39003002ADB'
 '39003002ADD' '39003002ADE' '39003002ADG' '39003002ADR']"
57,['39003002ACW' '39003002ADC' '39003002ADE' '39003002ADR']
58,['39003002ACW' '39003002ADC' '39003002ADD' '39003002ADF' '39003002ADG']
59,"['39003002ACT' '39003002ACU' '39003002ACW' '39003002ADE' '39003002ADG'
 '39003002AFN' '39003002AFO']"
60,"['39003002ABE' '39003002ACD' '39003002ACG' '39003002ADC' '39003002ADE'
 '39003002ADF' '39003002ADI' '39003002AFO']"
61,['39003002ABE' '39003002ABH' '39003002ADG' '39003002AFO']
62,['39003002ACW' '39003002ADR']
63,['39003002ACW' '39003002ADC' '39003002ADD' '39003002ADQ']
