,neighbors
0,['48001000003' '48001000006' '48001000013']
1,"['48001000003' '48001000004' '48001000009' '48225000005' '48225000006'
 '48225000015' '48289000012']"
2,"['48001000001' '48001000002' '48001000004' '48001000006' '48001000009'
 '48001000013' '48001000015']"
3,"['48001000002' '48001000003' '48001000005' '48001000015' '48073000028'
 '48225000005' '48225000006' '48225000008']"
4,['48001000004' '48073000027' '48073000028' '48225000005' '48225000008']
5,"['48001000001' '48001000003' '48001000007' '48001000008' '48001000009'
 '48001000013']"
6,"['48001000006' '48001000008' '48001000009' '48001000019' '48001000020'
 '48001000021']"
7,['48001000006' '48001000007' '48001000013' '48001000020']
8,"['48001000002' '48001000003' '48001000006' '48001000007' '48001000010'
 '48001000019' '48001000021' '48161000012' '48289000012']"
9,['48001000009' '48001000011' '48001000021' '48161000012']
10,"['48001000010' '48001000021' '48001000022' '48001000024' '48161000001'
 '48161000012']"
11,"['48001000001' '48001000003' '48001000006' '48001000008' '48001000015'
 '48001000017' '48001000020' '48001000021']"
12,"['48001000003' '48001000004' '48001000013' '48001000016' '48001000017'
 '48073000013' '48073000028']"
13,"['48001000015' '48001000017' '48001000018' '48001000023' '48073000013'
 '48073000036' '48073000037']"
14,"['48001000013' '48001000015' '48001000016' '48001000021' '48001000022'
 '48001000023']"
15,"['48001000016' '48001000023' '48073000033' '48073000037' '482130004BV'
 '482130004CC' '482130004PF']"
16,['48001000007' '48001000009' '48001000021']
17,['48001000007' '48001000008' '48001000013' '48001000021']
18,"['48001000007' '48001000009' '48001000010' '48001000011' '48001000013'
 '48001000017' '48001000019' '48001000020' '48001000022']"
19,['48001000011' '48001000017' '48001000021' '48001000023' '48001000024']
20,"['48001000016' '48001000017' '48001000018' '48001000022' '48001000024'
 '482130001CR' '482130004PF' '482130004SE' '48213004NYL']"
21,"['48001000011' '48001000022' '48001000023' '48161000001' '48161000008'
 '482130001CR' '482130004SE']"
22,"['48003000002' '48003000003' '48003000004' '48135000109' '48135000207'
 '48317000001' '4831700003A' '48329000401']"
23,['48003000001' '48003000003' '48003000004' '48165000003' '48165000004']
24,['48003000001' '48003000002' '48165000003' '48165000004' '4831700003A']
25,"['48003000001' '48003000002' '48135000109' '48135000207' '48495000101'
 '48495000301']"
26,"['48005000002' '48005000003' '48005000010' '48005000012' '48005000035'
 '48005000040']"
27,"['48005000001' '48005000003' '48005000004' '48005000010' '48005000020'
 '48005000021' '48005000025']"
28,"['48005000001' '48005000002' '48005000004' '48005000006' '48005000011'
 '48005000012' '48005000026' '48347000042' '48347000044']"
29,['48005000002' '48005000003' '48005000006' '48005000021']
30,"['48005000008' '48005000010' '48005000013' '48005000014' '48005000020'
 '48005000025' '48005000036' '48005000039']"
31,['48005000003' '48005000004' '48005000021' '48005000029' '48347000042']
32,"['48005000008' '48005000015' '48005000022' '48005000023' '48005000024'
 '48005000025' '48225000021' '48455000009' '48455000018']"
33,"['48005000005' '48005000007' '48005000015' '48005000018' '48005000019'
 '48005000024' '48005000025' '48005000039']"
34,['48005000013' '48005000014' '48005000018' '48005000040']
35,"['48005000001' '48005000002' '48005000005' '48005000013' '48005000020'
 '48005000035' '48005000040']"
36,"['48005000003' '48005000026' '48005000030' '48005000033' '4800500011B'
 '48347000044' '48347000047']"
37,['48005000001' '48005000003' '48005000026' '48005000035' '48005000037']
38,['48005000005' '48005000009' '48005000010' '48005000014' '48005000040']
39,"['48005000005' '48005000009' '48005000013' '48005000018' '48005000019'
 '48005000039']"
40,"['48005000007' '48005000008' '48005000016' '48005000018' '48005000028'
 '48005000031' '48005000038' '48373000010' '48455000009' '48455000018']"
41,['48005000015' '48005000028' '48005000031']
42,"['48005000030' '48005000032' '48005000033' '4800500017B' '48241000001'
 '48241000002' '48241000004' '48347000047' '48405000008' '48405000009'
 '48457000007']"
43,"['48005000008' '48005000009' '48005000014' '48005000015' '48005000019'
 '48005000028' '48005000034' '48005000035' '48005000040']"
44,['48005000008' '48005000014' '48005000018' '48005000024' '48005000039']
45,"['48005000002' '48005000005' '48005000010' '48005000021' '48005000025'
 '48005000040']"
46,"['48005000002' '48005000004' '48005000006' '48005000020' '48005000025'
 '48005000029']"
47,"['48005000007' '48005000023' '48005000025' '48005000029' '48073000025'
 '48347000021' '48347000042']"
48,['48005000007' '48005000022' '48073000025' '48225000021']
49,['48005000007' '48005000008' '48005000019' '48005000025' '48005000039']
50,"['48005000002' '48005000005' '48005000007' '48005000008' '48005000020'
 '48005000021' '48005000022' '48005000024' '48005000029' '48005000036']"
51,"['48005000003' '48005000011' '48005000012' '48005000027' '48005000032'
 '48005000033' '48005000037']"
52,"['48005000026' '48005000028' '48005000031' '48005000032' '48005000037'
 '48373000010']"
53,"['48005000015' '48005000016' '48005000018' '48005000027' '48005000031'
 '48005000034' '48005000037' '48005000038']"
54,"['48005000006' '48005000021' '48005000022' '48005000025' '48347000021'
 '48347000042']"
55,['48005000011' '48005000017' '48005000033' '48347000047']
56,['48005000015' '48005000016' '48005000027' '48005000028' '48373000010']
57,"['48005000017' '48005000026' '48005000027' '48005000033' '48373000010'
 '48457000007']"
58,"['48005000011' '48005000017' '48005000026' '48005000030' '48005000032'
 '4800500011B']"
59,['48005000018' '48005000028' '48005000035' '48005000037' '48005000038']
60,"['48005000001' '48005000010' '48005000012' '48005000018' '48005000034'
 '48005000037' '48005000040']"
61,['48005000005' '48005000025']
62,"['48005000012' '48005000026' '48005000027' '48005000028' '48005000034'
 '48005000035']"
63,['48005000015' '48005000028' '48005000034']
64,['48005000005' '48005000008' '48005000014' '48005000019' '48005000024']
65,"['48005000001' '48005000009' '48005000010' '48005000013' '48005000018'
 '48005000020' '48005000035']"
66,['48005000011' '48005000033']
67,['48005000017']
68,['48007000002' '48007000003' '4800700001A' '48355000019']
69,"['48007000001' '48007000003' '48007000004' '4800700001A' '48391000001'
 '4839100002B' '48409000106']"
70,"['48007000001' '48007000002' '48007000004' '4800700004A' '48057000024'
 '48355000019']"
71,['48007000002' '48007000003' '4800700004A' '48391000001']
72,['48007000001' '48007000002' '48355000019' '48409000106']
73,['48007000003' '48007000004' '48057000024' '48391000001' '4839100004B']
74,"['48009000002' '48009000009' '48023000003' '48485000101' '48485000106'
 '48487000020']"
75,"['48009000001' '48009000006' '48009000008' '48009000009' '48009000010'
 '48009000011' '48485000101' '48485000106' '48485000107' '48485000114']"
76,"['48009000004' '48009000005' '48009000008' '48009000011' '48077000017'
 '48077000020' '48077000032']"
77,['48009000003' '48009000005' '48077000032' '48237000006' '48503000016']
78,"['48009000003' '48009000004' '48009000006' '48009000008' '48503000016'
 '48503000020' '48503000023']"
79,"['48009000002' '48009000005' '48009000007' '48009000008' '48009000009'
 '48503000020' '48503000023']"
80,['48009000006' '48009000009' '48023000003' '48447004005' '48503000023']
81,['48009000002' '48009000003' '48009000005' '48009000006' '48009000011']
82,['48009000001' '48009000002' '48009000006' '48009000007' '48023000003']
83,['48009000002' '48485000107' '48485000114']
84,['48009000002' '48009000003' '48009000008' '48077000017' '48485000107']
85,"['48011000201' '48011000202' '48011000301' '48011000401' '48011000402'
 '48065000101' '48065000201']"
86,['48011000101' '48011000202' '48011000301']
87,"['48011000101' '48011000201' '48011000301' '48045000002' '48065000101'
 '48065000201' '48129000101' '48129000102' '48129000201' '48179000003']"
88,"['48011000101' '48011000201' '48011000202' '48011000303' '48011000401'
 '48011000402' '48011000404' '48045000002' '48045000004' '48381000306']"
89,['48011000301' '48045000004' '48381000306' '48437000002' '48437000009']
90,['48011000101' '48011000301' '48011000402']
91,"['48011000101' '48011000301' '48011000401' '48011000404' '48065000201'
 '48375000327' '48381000110']"
